model_name,params_count,params_size_mb,buffers_size_mb,instance_size_mb,total_size_mb,family
resnet18,11689512,44.591949462890625,0.036773681640625,0.22397899627685547,44.852702140808105,resnet
resnet34,21797672,83.15151977539062,0.065216064453125,0.37916088104248047,83.59589672088623,resnet
resnet50,25557032,97.49234008789062,0.20304107666015625,0.5027704238891602,98.19815158843994,resnet
resnet101,44549160,169.94155883789062,0.40264892578125,0.9550628662109375,171.2992706298828,resnet
resnet152,60192808,229.61734008789062,0.5788192749023438,1.406905174255371,231.60306453704834,resnet
wide_resnet50_2,68883240,262.7687072753906,0.26065826416015625,0.5028390884399414,263.5322046279907,resnet
wide_resnet101_2,126886696,484.0343322753906,0.52667236328125,0.9555931091308594,485.51659774780273,resnet
vit_b_16,86567656,330.2294006347656,0.0,0.4525566101074219,330.68195724487305,vit
vit_b_32,88224232,336.5487365722656,0.0,0.4525413513183594,337.001277923584,vit
vit_l_16,304326632,1160.9139709472656,0.0,0.8759574890136719,1161.7899284362793,vit
vit_h_14,633470440,2416.4979553222656,0.0,1.1580429077148438,2417.6559982299805,vit
vgg11,132863336,506.8334045410156,0.0,0.09821605682373047,506.93162059783936,vgg
vgg13,133047848,507.5372619628906,0.0,0.11102962493896484,507.6482915878296,vgg
vgg16,138357544,527.7921447753906,0.0,0.1297311782836914,527.9218759536743,vgg
vgg19,143667240,548.0470275878906,0.0,0.14843273162841797,548.195460319519,vgg
vgg11_bn,132868840,506.8544006347656,0.02105712890625,0.12858295440673828,507.0040407180786,vgg
vgg13_bn,133053736,507.5597229003906,0.0225372314453125,0.14844417572021484,507.73070430755615,vgg
vgg16_bn,138365992,527.8243713378906,0.03232574462890625,0.1789569854736328,528.0356540679932,vgg
vgg19_bn,143678248,548.0890197753906,0.0421142578125,0.20875263214111328,548.3398866653442,vgg
